Location,State,Population (US Census, 2011),Ownership?,Type ,Open Data Policy?,Data Source Description,Link,Building permits
California,CA,37691912,Government,US State,No,generic opendata portal,http://data.ca.gov/,
California,CA,37691912,Government,US State,No,California Building Standards Commission,http://www.bsc.ca.gov,
California,CA,37691912,Government,US State,No,SF opendata portal: construction data sets,https://data.sfgov.org/data?search=Construction,
California,CA,37691912,Government,US State,No,building permits filed and issued,http://sfdbi.org/building-permits-filed-and-issued,yes
Texas,TX,25674681,Government,US State,Yes,generic opendata portal,http://www.texas.gov/en/Connect/Pages/open-data.aspx,
Texas [Comptroller Transparency],TX,25674681,Government,Other State Related,Yes,opendata center ,http://www.texastransparency.org/opendata/index.php,
Texas,TX,25674681,Government,US State,Yes,Data Center: Search Datasets,http://www.texastransparency.org/Data_Center/Search_Datasets.php,
New York,NY,19465197,Government,US State,Yes,generic opendata portal,https://data.ny.gov/,
New York,NY,19465197,Government,US State,Yes,generic opendata portal,http://www.openbooknewyork.com,
New York [Department of Health],NY,19465197,Government,Other State Related,Yes,generic opendata portal,https://health.data.ny.gov/,
New York [Health Data],NY,19465197,Government,Other State Related,Yes,generic opendata portal,https://health.data.ny.gov,
New York [State Data Center],NY,19465197,Government,Other State Related,Yes,generic opendata portal,http://esd.ny.gov/NYSDataCenter.html,
New York [State Senate],NY,19465197,Government,Other State Related,Yes,generic opendata portal,http://www.nysenate.gov/opendata/,
Florida,FL,19057542,Government,US State,No,generic opendata portal,http://www.floridahasarighttoknow.com/,
Florida,FL,19057542,Government,US State,No,generic opendata portal,http://www.myfloridacfo.com/transparency,
Illinois,IL,12869257,Government,US State ,Yes,generic opendata portal,http://data.illinois.gov,
Illinois,IL,12869257,Government,US State,Yes,generic opendata portal,http://accountability.illinois.gov,
Illinois South Suburban Mayors and Managers,IL,12869257,Government,Other State Related,Yes,generic opendata portal,https://data.illinois.gov/ssmma,
Pennsylvania,PA,12742886,Government,US State,No,generic opendata portal,http://www.pennwatch.pa.gov,
Pennsylvania [Geodata],PA,12702379,University,US State,No,generic opendata portal,http://www.pasda.psu.edu/uci/SearchResults.aspx?shortcutKeyword=base&searchType=shortcut&sessionID=50734710420131023181913,
Ohio,OH,11544951,Government,US State,No,generic opendata portal,http://www.sos.state.oh.us/betterLives.aspx,
Ohio,OH,11544951,Government,US State,No,generic opendata portal,http://transparency.ohio.gov,
Michigan,MI,9876187,Government,US State,No,generic opendata portal,http://www.michigan.gov/data/,
Cobb County,GA,9815210,Government,US County,Yes,generic opendata portal,http://www.cobbcounty.org/index.php?option=com_content&view=article&id=1125&Itemid=519,
Georgia,GA,9815210,Government,US State,No,generic opendata portal,http://www.open.georgia.gov/,
Chicago [Metro],IL,9729825,Government,US Regional,Yes,generic opendata portal,https://www.metrochicagodata.org,
North Carolina,NC,9656401,Government,US State,No,generic opendata portal,http://www.ncopenbook.gov,
North Carolina [OpenBook],NC,9656401,Government,US State,No,generic opendata portal,http://www.ncopenbook.gov/NCOpenBook/,
New Jersey,NJ,8821155,Community,US State,No,generic opendata portal,http://data.codefornewark.org/tr/dataset,
New Jersey [Transparency Portal],NJ,8821155,Government,US State,No,generic opendata portal,http://yourmoney.nj.gov,
New Jersey [GIS Clearinghouse],NJ,8791909,Government,US State,No,generic opendata portal,http://njgin.state.nj.us/,
New Jersey [Newspaper Transparency Project],NJ,8791909,Private,US State,No,generic opendata portal,http://datauniverse.com/,
New York City,NY,8244910,Government,US City,Yes,generic opendata portal,https://www.opendatanyc.com,
Virginia,VA,8096604,Government,US State,No,generic opendata portal,http://data.openva.com,
Virginia Data Point,VA,8096604,Government,US State,No,generic opendata portal,http://datapoint.apa.virginia.gov/,
Washington,WA,6830038,Government,US State,No,generic opendata portal,http://fiscal.wa.gov,
Washington,WA,6830038,Government,US State,No,generic opendata portal,https://data.wa.gov,
Massachusetts,MA,6587536,Government,US State,No,generic opendata portal,http://www.mass.gov/data/,
Massachusetts,MA,6587536,Government,US State,No,generic opendata portal,http://www.mass.gov/transparency,
Indiana,IN,6516922,Government,US State,No,generic opendata portal,http://inmap.indiana.edu/viewer.htm,
Indiana,IN,6516922,Government,US State,No,generic opendata portal,http://www.in.gov/itp,
Arizona,AZ,6482505,Government,US State,No,generic opendata portal,http://openbooks.az.gov,
Tennessee,TN,6403353,Government,US State,No,generic opendata portal,http://www.tn.gov/opengov/,
Missouri,MS,6010688,Government,US State ,No,generic opendata portal,https://data.mo.gov,
Missouri [Accountability Portal],MS,6010688,Government,Other State Related,No,generic opendata portal,http://mapyourtaxes.mo.gov/MAP/Portal/Default.aspx,
Wisconsin,WI,5711767,Government,US State,No,generic opendata portal,http://sunshine.wi.gov,
Minnesota,MN,5344861,Government,US State,No,generic opendata portal,http://mn.gov/portal/,
Minnesota,MN,5344861,Government,US State,No,generic opendata portal,http://www.mmb.state.mn.us/tap,
Cook County,IL,5217080,Government,US County,Yes,generic opendata portal,https://cookcounty.socrata.com,
Colorado,CO,5116796,Government,US State,No,generic opendata portal,https://data.colorado.gov,
Colorado,CO,5116796,Government,US State,No,generic opendata portal,http://tops.state.co.us,
Colorado,CO,5116796,Community,US State,No,generic opendata portal,http://data.opencolorado.org,
Alabama,AL,4802740,Government,US State,No,generic opendata portal,http://open.alabama.gov/,
South Carolina,SC,4679230,Government,US State,No,generic opendata portal,http://www.cg.sc.gov/fiscaltransparency,
South Carolina [GIS],SC,4679230,Government,US State,No,generic opendata portal,http://www.gis.sc.gov/data.html,US State,
Louisiana,LA,4574836,Government,US State,No,generic opendata portal,http://wwwprd.doa.louisiana.gov/LaTrac/portal.cfm,
Kentucky [Open Door],KY,4369356,Government,US State,No,generic opendata portal,http://opendoor.ky.gov/search/Pages/spendingsearch.aspx,
Atlanta Regional Commission,GA,4142300,Government,US County,No,generic opendata portal,http://www.atlantaregional.com/info-center/gis-data-maps/gis-data,
Oregon,OR,3871859,Government,US State,No,generic opendata portal,http://data.oregon.gov,
Oregon,OR,3871859,Government,US State,No,generic opendata portal,http://www.oregon.gov/transparency,
Los Angeles [Controller],CA,3819702,Government,US City,Yes,generic opendata portal,https://controllerdata.lacity.org/,
Maryland,MD,3792647,Government,US State,Yes,generic opendata portal,http://spending.dbm.maryland.gov,
Maryland,MD,3792647,Government,US State,Yes,generic opendata portal,http://data.maryland.gov,
Oklahoma,OK,3791508,Government,US State,No,generic opendata portal,http://www.ok.gov/about/data.html,
Oklahoma,OK,3791508,Government,US State,No,generic opendata portal,https://data.ok.gov,
Connecticut,CT,3580709,Government,US State,No,generic opendata portal,http://transparency.ct.gov/html/main.asp,
Connecticut,CT,3580709,Government,US State,No,generic opendata portal,http://www.osc.ct.gov/openct,
Denver Regional Council,CO,3157520,Regional,Other State Related,No,generic opendata portal,http://data.opencolorado.org/group/drcog,
Iowa,IA,3062309,Government,US State,No,generic opendata portal,http://data.iowa.gov/,
Mississippi,MS,2978512,Government,US State,No,generic opendata portal,http://www.transparency.mississippi.gov,
Arkansas,AR,2937979,Government,US State,No,generic opendata portal,http://transparency.arkansas.gov,
Kansas,KS,2871238,Government,US State,No,generic opendata portal,http://kanview.ks.gov/,
Utah,UT,2817222,Government,US State,Yes,generic opendata portal,http://www.utah.gov/transparency,
Utah,UT,2817222,Government,US State,Yes,generic opendata portal,http://www.utah.gov/data/,
Nevada,NV,2723322,Government,US State,No,generic opendata portal,http://open.nv.gov,
Chicago,IL,2707120,Government,US City,Yes,generic opendata portal,https://data.cityofchicago.org,
Houston,TX,2089090,Government,US City,Yes,generic opendata portal,http://data.ohouston.org/,
New Mexico,NM,2082224,Government,US State,No,generic opendata portal,http://www.sunshineportalnm.com/,
